,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
157,0.18453073501586914,0.09804974762660475,0.0661160945892334,0.06875871254861032,0.01,3,10,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10}",0.9570835256114444,0.935826408125577,0.9242843951985226,0.9390647763118479,0.013584574839215055,45,0.9632963988919667,0.931225478882991,0.9369951534733441,0.9438390104161005,0.013958623641443959
112,0.21672463417053223,0.051393093101889054,0.021114269892374676,0.005557027717787425,0.001,3,70,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 70}",0.9381633594831564,0.935826408125577,0.9242843951985226,0.9327580542690853,0.006067262366999975,47,0.9300554016620498,0.931225478882991,0.9369951534733441,0.9327586780061283,0.003033486823660428
156,0.16594751675923666,0.028434001991120908,0.015305836995442709,0.0005001702195915572,0.01,3,5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5}",0.9381633594831564,0.935826408125577,0.9242843951985226,0.9327580542690853,0.006067262366999975,47,0.9300554016620498,0.931225478882991,0.9369951534733441,0.9327586780061283,0.003033486823660428
154,0.38620154062906903,0.019919188902008274,0.09358787536621094,0.004210729341832289,0.01,2,70,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 70}",0.9335486848177204,0.9506001846722069,0.9127423822714681,0.9322970839204651,0.015480701518511216,49,0.9344413665743305,0.9531502423263328,0.9224555735056543,0.9366823941354392,0.012630843912159892
162,0.13872027397155762,0.05526519324869428,0.014897664388020834,0.0013449061704986565,0.01,4,5,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 5}",0.9367789570835257,0.9321329639889196,0.9270544783010157,0.9319887997911537,0.003971310395390885,50,0.9279778393351801,0.9303023309485345,0.9397645972767136,0.9326815891868093,0.005097552878023915
149,0.40267523129781085,0.14175311973931354,0.018610715866088867,0.004911599321955941,0.01,1,100,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 100}",0.9155514536225197,0.9187442289935365,0.9233610341643582,0.9192189055934715,0.0032058670658404024,51,0.9162049861495845,0.9136856681283175,0.9284560350796215,0.9194488964525078,0.006451519227236447
153,0.22719844182332358,0.09362713669804763,0.0167999267578125,0.00021916369871170576,0.01,2,40,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 40}",0.928011075219197,0.9182825484764543,0.9030470914127424,0.9164469050361314,0.010273827978646602,52,0.9298245614035088,0.9143780290791599,0.9185321947842142,0.9209115950889609,0.0065266121670925345
152,0.08781139055887859,0.006282383689108308,0.017722368240356445,0.0023454272903050996,0.01,2,20,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 20}",0.9229349330872173,0.9168975069252078,0.9030470914127424,0.9142931771417224,0.008325401365023643,53,0.9157433056325023,0.9116085852757905,0.9185321947842142,0.9152946952308355,0.0028442961197979533
151,0.10817352930704753,0.026086373927474073,0.017354965209960938,0.0019878456114780516,0.01,2,10,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 10}",0.9201661282879557,0.9168975069252078,0.9030470914127424,0.9133702422086353,0.007420536960324418,54,0.909972299168975,0.9116085852757905,0.9185321947842142,0.91337102640966,0.0037101304827650795
107,0.38409773508707684,0.083965211223489,0.019973913828531902,0.0008614861877201231,0.001,2,100,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 100}",0.9201661282879557,0.9168975069252078,0.9030470914127424,0.9133702422086353,0.007420536960324418,54,0.909972299168975,0.9116085852757905,0.9185321947842142,0.91337102640966,0.0037101304827650795
