,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
145,0.04122153917948405,0.00047159839135443654,0.009640773137410482,0.0012439002839297036,0.01,1,10,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 10}",0.7918781725888325,0.7894736842105263,0.7876269621421976,0.7896596063138522,0.0017405215380786024,60,0.788550323176362,0.7897530579275329,0.7906762058619894,0.7896598623219614,0.0008703862605900829
101,0.13530389467875162,0.029989972892420703,0.01264047622680664,0.0009360220096192263,0.001,1,100,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 100}",0.7918781725888325,0.7894736842105263,0.7876269621421976,0.7896596063138522,0.0017405215380786024,60,0.788550323176362,0.7897530579275329,0.7906762058619894,0.7896598623219614,0.0008703862605900829
100,0.09407830238342285,0.0026172726215454053,0.010635455449422201,0.00046975165715181725,0.001,1,70,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 70}",0.7918781725888325,0.7894736842105263,0.7876269621421976,0.7896596063138522,0.0017405215380786024,60,0.788550323176362,0.7897530579275329,0.7906762058619894,0.7896598623219614,0.0008703862605900829
110,0.06548802057902019,0.011575750094894829,0.012964884440104166,0.004231431216809219,0.001,3,20,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
109,0.051195224126180015,0.004629976046350591,0.008981466293334961,0.0008137458605517933,0.001,3,10,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 10}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
111,0.0924207369486491,0.015136153094072392,0.012962977091471354,0.0035470002790931724,0.001,3,40,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 40}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
103,0.05585320790608724,0.014947841942897503,0.008972962697347006,0.0008172168465477186,0.001,2,10,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 10}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
105,0.0827790101369222,0.012797047921551567,0.013628721237182617,0.00523705857505757,0.001,2,40,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 40}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
104,0.08477330207824707,0.004531361172799742,0.010306755701700846,0.0020511106280320947,0.001,2,20,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
102,0.045211394627889,0.008236249719657507,0.009307622909545898,0.000940380564571404,0.001,2,5,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
