,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_optimizer,param_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
46,11.12388825416565,0.06894483052331694,0.26865871747334796,0.03192513554170079,10,50,random_uniform,adam,8,"{'batch_size': 10, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 8}",0.5746527777777778,0.6545138888888888,0.5243055555555556,0.5844907407407407,0.053610581379715076,45,0.6857638888888888,0.7256944444444444,0.828125,0.7465277777777777,0.059956608323747315
24,21.06624714533488,2.9994685545357984,0.29161524772644043,0.03537840049142538,5,50,random_uniform,SGD,4,"{'batch_size': 5, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 4}",0.5590277777777778,0.6666666666666666,0.5260416666666666,0.5839120370370371,0.06004591257480408,46,0.640625,0.7256944444444444,0.8237847222222222,0.7300347222222222,0.07483759959415055
25,18.83183439572652,0.3118172219038845,0.2951383590698242,0.003582900312113672,5,50,random_uniform,SGD,8,"{'batch_size': 5, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 8}",0.578125,0.640625,0.5190972222222222,0.5792824074074074,0.04962025719959726,47,0.6840277777777778,0.7621527777777778,0.8350694444444444,0.7604166666666666,0.06167472107059586
26,20.692253828048706,2.5776534216647344,0.29285891850789386,0.006805861756288739,5,50,random_uniform,SGD,13,"{'batch_size': 5, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 13}",0.5451388888888888,0.6527777777777778,0.5260416666666666,0.5746527777777777,0.055790158587939974,48,0.6831597222222222,0.75,0.8376736111111112,0.7569444444444445,0.06327086979210081
17,11.137099266052246,1.8412787345379558,0.4960896174112956,0.1520816504694588,5,20,random_uniform,SGD,13,"{'batch_size': 5, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 13}",0.5399305555555556,0.6527777777777778,0.5260416666666666,0.5729166666666666,0.05675428388863642,49,0.6909722222222222,0.6909722222222222,0.8255208333333334,0.7358217592592592,0.06342682354393224
20,23.203412850697834,2.86813078202883,0.321577787399292,0.032516618169071775,5,50,random_uniform,adam,13,"{'batch_size': 5, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 13}",0.53125,0.6614583333333334,0.5243055555555556,0.572337962962963,0.0630813582519933,50,0.6866319444444444,0.7439236111111112,0.8359375,0.7554976851851851,0.06150071339934407
22,26.528549750645954,1.7553544197701492,0.3877724806467692,0.006261598738210334,5,50,random_uniform,rmsprop,8,"{'batch_size': 5, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 8}",0.5243055555555556,0.6649305555555556,0.5243055555555556,0.5711805555555556,0.06629126073623882,51,0.6840277777777778,0.7630208333333334,0.8350694444444444,0.7607060185185185,0.06168422295898832
47,11.70091732343038,0.9172520710555104,0.24273339907328287,0.03971878363322297,10,50,random_uniform,adam,13,"{'batch_size': 10, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 13}",0.5104166666666666,0.6805555555555556,0.5190972222222222,0.5700231481481483,0.07823851492560467,52,0.6831597222222222,0.7647569444444444,0.8263888888888888,0.7581018518518517,0.05866211860629724
52,11.547965208689371,0.7498992868785563,0.24769179026285806,0.030965016541917176,10,50,random_uniform,SGD,8,"{'batch_size': 10, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 8}",0.5104166666666666,0.6649305555555556,0.5295138888888888,0.5682870370370371,0.06878058460486586,53,0.6848958333333334,0.7204861111111112,0.8272569444444444,0.7442129629629631,0.06049184029435882
23,18.245657920837402,0.755368388233836,0.2992962996164958,0.033888199916499336,5,50,random_uniform,rmsprop,13,"{'batch_size': 5, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 13}",0.5434027777777778,0.6197916666666666,0.5243055555555556,0.5625,0.041254715094031495,54,0.6831597222222222,0.7569444444444444,0.8368055555555556,0.7589699074074074,0.06274199763228437
