,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
32,1.9850227038065593,0.16497022485367224,0.16722965240478516,0.03338440652667255,50,30,0.0001,0.001,"{'batch_size': 50, 'epochs': 30, 'kernel': 0.0001, 'learning_rate': 0.001}",0.7563025210084033,0.7721518987341772,0.7510548523206751,0.7598364240210853,0.0089680058995166,31,0.7763713080168776,0.791578947368421,0.7557894736842106,0.7745799096898365,0.014665797799024168
170,3.5574423472086587,0.34708264331713684,0.29632822672526044,0.04334644656418564,100,50,0.01,0.1,"{'batch_size': 100, 'epochs': 50, 'kernel': 0.01, 'learning_rate': 0.1}",0.7941176470588235,0.7257383966244726,0.7552742616033755,0.7583767684288905,0.028001781299799414,32,0.79957805907173,0.7557894736842106,0.7810526315789473,0.7788067214449627,0.01794701714877193
138,2.797664483388265,0.18202204126986546,0.27281753222147626,0.01799362575013224,100,30,0.01,0.1,"{'batch_size': 100, 'epochs': 30, 'kernel': 0.01, 'learning_rate': 0.1}",0.7941176470588235,0.7341772151898734,0.7341772151898734,0.7541573591461902,0.028256190561189876,33,0.8164556962025317,0.7452631578947368,0.7410526315789474,0.7675904952254052,0.03459564551467137
202,2.3494625091552734,0.03494217605398374,0.2719706694285075,0.032892742472965,150,20,0.01,0.1,"{'batch_size': 150, 'epochs': 20, 'kernel': 0.01, 'learning_rate': 0.1}",0.7521008403361344,0.7426160337552743,0.759493670886076,0.751403514992495,0.006907887074734,34,0.7489451476793249,0.7621052631578947,0.7431578947368421,0.7514027685246872,0.007928035388646426
40,2.1140005588531494,0.08676323493925125,0.16954851150512695,0.01646522144766433,50,30,0.01,0.001,"{'batch_size': 50, 'epochs': 30, 'kernel': 0.01, 'learning_rate': 0.001}",0.7142857142857143,0.7383966244725738,0.7341772151898734,0.7289531846493872,0.010513542657786713,35,0.7383966244725738,0.7326315789473684,0.7389473684210527,0.7366585239469984,0.0028563431454372646
168,3.3577242692311606,0.21219066461123584,0.26242589950561523,0.012873751843226313,100,50,0.01,0.001,"{'batch_size': 100, 'epochs': 50, 'kernel': 0.01, 'learning_rate': 0.001}",0.7226890756302521,0.7215189873417721,0.7172995780590717,0.7205025470103653,0.002314668331593461,36,0.7426160337552743,0.72,0.7326315789473684,0.7317492042342142,0.009254014788394544
256,3.076965570449829,0.18906416151554337,0.2716077963511149,0.0350224951996125,150,50,0.0001,0.001,"{'batch_size': 150, 'epochs': 50, 'kernel': 0.0001, 'learning_rate': 0.001}",0.7226890756302521,0.7215189873417721,0.70042194092827,0.7148766679667647,0.0102321919114382,37,0.7278481012658228,0.72,0.7326315789473684,0.7268265600710637,0.005207165350767005
260,3.2731069723765054,0.418981814827728,0.2621142069498698,0.04668686216159686,150,50,0.001,0.001,"{'batch_size': 150, 'epochs': 50, 'kernel': 0.001, 'learning_rate': 0.001}",0.7184873949579832,0.7215189873417721,0.6962025316455697,0.712069637981775,0.011287793870923792,38,0.7278481012658228,0.7178947368421053,0.7326315789473684,0.7261248056850987,0.006138454721549572
4,1.394140084584554,0.02402039121122583,0.13889360427856445,0.0071812886340406204,50,20,0.001,0.001,"{'batch_size': 50, 'epochs': 20, 'kernel': 0.001, 'learning_rate': 0.001}",0.7226890756302521,0.7172995780590717,0.6877637130801688,0.7092507889231642,0.015352144089766246,39,0.7320675105485233,0.7052631578947368,0.7221052631578947,0.7198119772003849,0.011062329491245524
0,1.7380791505177815,0.09801191471554105,0.16059239705403647,0.017009279099636437,50,20,0.0001,0.001,"{'batch_size': 50, 'epochs': 20, 'kernel': 0.0001, 'learning_rate': 0.001}",0.7142857142857143,0.7046413502109705,0.6877637130801688,0.7022302591922847,0.01096096580026992,40,0.7362869198312236,0.6926315789473684,0.7242105263157895,0.7177096750314605,0.018405488266404358
